word_id,chinese_word,pinyin,word_hsk_level,official_pos,sense_id,chinese_meaning,persian_meaning,collocations,example_chinese,example_pinyin,example_persian_translation,notes
1,矮,ǎi,HSK 3,形,1,身高小；个子不高（形）,کوتاه‌قد؛ قدکوتاه (صفت),个子矮 (gèzi ǎi) | 比我矮 (bǐ wǒ ǎi) | 矮一点儿 (ǎi yìdiǎnr) | 又矮又瘦 (yòu ǎi yòu shòu),他比我矮一点儿。,Tā bǐ wǒ ǎi yìdiǎnr.,او کمی از من کوتاه‌قدتر است.,常用于人的身高；反义词是“高”。
1,矮,ǎi,HSK 3,形,2,高度低；不高（形）,کوتاه؛ کم‌ارتفاع؛ بلند نبودن (صفت),矮墙 (ǎi qiáng) | 矮楼 (ǎi lóu) | 矮桌子 (ǎi zhuōzi) | 树很矮 (shù hěn ǎi),院子外面有一堵矮墙。,Yuànzi wàimian yǒu yì dǔ ǎi qiáng.,بیرون حیاط یک دیوار کوتاه هست.,用于物体高度；“矮小、低矮”可作为单独词条处理。
2,爱人,àiren,HSK 3,名,1,配偶；丈夫或妻子（名）,همسر؛ شوهر یا زن (اسم),我的爱人 (wǒ de àiren) | 他爱人 (tā àiren) | 爱人和孩子 (àiren hé háizi) | 带爱人来 (dài àiren lái),我爱人今天不在家。,Wǒ àiren jīntiān bú zài jiā.,همسرم امروز خانه نیست.,中国大陆常用来指配偶，语气较正式或偏传统；日常口语中也常说“丈夫、妻子、老公、老婆”。
2,爱人,àiren,HSK 3,名,2,相爱的人；恋人或所爱的人（名）,معشوق؛ محبوب؛ کسی که دوستش دارند (اسم),心爱的爱人 (xīn'ài de àiren) | 失去爱人 (shīqù àiren) | 等待爱人 (děngdài àiren) | 思念爱人 (sīniàn àiren),他一直在等待自己的爱人回来。,Tā yìzhí zài děngdài zìjǐ de àiren huílái.,او همیشه منتظر بود محبوبش برگردد.,此义较书面或文艺；现代口语中“爱人”通常指配偶，不宜直接理解为普通“恋人”。
3,安静,ānjìng,HSK 3,形、动,1,没有声音或声音很小；不吵闹（形）,ساکت؛ آرام؛ بی‌سروصدا (صفت),很安静 (hěn ānjìng) | 安静的房间 (ānjìng de fángjiān) | 保持安静 (bǎochí ānjìng) | 周围很安静 (zhōuwéi hěn ānjìng),图书馆里很安静。,Túshūguǎn li hěn ānjìng.,داخل کتابخانه خیلی ساکت است.,可形容环境或人不吵闹；反义词是“吵、热闹”。
3,安静,ānjìng,HSK 3,形、动,2,使安静；变得安静（动）,ساکت شدن؛ آرام شدن از نظر صدا یا رفتار؛ ساکت کردن (فعل),安静下来 (ānjìng xiàlái) | 请安静 (qǐng ānjìng) | 让孩子安静 (ràng háizi ānjìng) | 大家安静一下 (dàjiā ānjìng yíxià),请大家安静一下。,Qǐng dàjiā ānjìng yíxià.,لطفاً همه کمی ساکت شوید.,作动词时多用于祈使句或“安静下来”；不表示“آسوده/بی‌دغدغه”，那通常说“安心、放心”。
4,安全,ānquán,HSK 3,形、名,1,没有危险；不受威胁（形）,امن؛ ایمن؛ بی‌خطر؛ در امان (صفت),很安全 (hěn ānquán) | 安全的地方 (ānquán de dìfang) | 这样不安全 (zhèyàng bù ānquán) | 安全回家 (ānquán huí jiā),晚上一个人走这条路不太安全。,Wǎnshang yí ge rén zǒu zhè tiáo lù bú tài ānquán.,شب تنها از این راه رفتن خیلی امن نیست.,形容人、地方、行为或情况没有危险。
4,安全,ānquán,HSK 3,形、名,2,安全状况；保障人身、财产或信息不受危险的状态（名）,امنیت؛ ایمنی؛ وضعیت امن بودن (اسم),注意安全 (zhùyì ānquán) | 交通安全 (jiāotōng ānquán) | 食品安全 (shípǐn ānquán) | 网络安全 (wǎngluò ānquán),过马路时一定要注意安全。,Guò mǎlù shí yídìng yào zhùyì ānquán.,هنگام رد شدن از خیابان حتماً مراقب ایمنی باش.,名词用法常见于“注意安全、交通安全、食品安全、网络安全”；“安全带、安全感”可作为单独词条处理。
5,阿姨,āyí,HSK 3,名,1,对母亲同辈女性亲属的称呼；也可泛称女性长辈（名）,خاله؛ عنوان خطاب برای زن بزرگ‌ترِ هم‌نسل مادر (اسم),一位阿姨 (yí wèi āyí) | 王阿姨 (Wáng āyí) | 邻居阿姨 (línjū āyí) | 阿姨好 (āyí hǎo),王阿姨经常来我家。,Wáng āyí jīngcháng lái wǒ jiā.,خاله/خانم وانگ اغلب به خانهٔ ما می‌آید.,可用于亲属或对熟悉的女性长辈的礼貌称呼；具体亲属关系要看语境。
5,阿姨,āyí,HSK 3,名,2,保姆、家政服务人员或照顾孩子的人（名）,پرستار بچه؛ خدمتکار خانه؛ نیروی خدمات خانگی (اسم),请阿姨 (qǐng āyí) | 家里的阿姨 (jiā li de āyí) | 做饭的阿姨 (zuò fàn de āyí) | 照顾孩子的阿姨 (zhàogù háizi de āyí),他们家请了一位阿姨照顾孩子。,Tāmen jiā qǐng le yí wèi āyí zhàogù háizi.,آن‌ها یک خانم پرستار/کمک‌کار گرفته‌اند تا از بچه مراقبت کند.,口语常用；指家政或照护人员时语气较自然，但需注意语境和礼貌。
